fips	postal	name	medianhouseholdincome	rate	region	lograte
"01001"	"AL"	"Autauga County"	53049	181.1	"SOUTH"	5.199049
"01003"	"AL"	"Baldwin County"	47618	188.1	"SOUTH"	5.236974
"01005"	"AL"	"Barbour County"	33074	388.1	"SOUTH"	5.961263
"01007"	"AL"	"Bibb County"	35472	106.7	"SOUTH"	4.670021
"01009"	"AL"	"Blount County"	42906	92.8	"SOUTH"	4.530447
"01011"	"AL"	"Bullock County"	25969	409.1	"SOUTH"	6.013959
"01013"	"AL"	"Butler County"	29500	219.8	"SOUTH"	5.392718
"01015"	"AL"	"Calhoun County"	37916	185.4	"SOUTH"	5.222516
"01017"	"AL"	"Chambers County"	30061	318.2	"SOUTH"	5.76268
"01019"	"AL"	"Cherokee County"	34410	119.8	"SOUTH"	4.785824
"01021"	"AL"	"Chilton County"	38553	98.7	"SOUTH"	4.592085
"01023"	"AL"	"Choctaw County"	32003	258	"SOUTH"	5.552959
"01025"	"AL"	"Clarke County"	33739	117.8	"SOUTH"	4.768988
"01027"	"AL"	"Clay County"	33035	143.7	"SOUTH"	4.967728
"01029"	"AL"	"Cleburne County"	37566	123.2	"SOUTH"	4.813809
"01031"	"AL"	"Coffee County"	40779	140.3	"SOUTH"	4.943783
"01033"	"AL"	"Colbert County"	37455	111.1	"SOUTH"	4.710431
"01035"	"AL"	"Conecuh County"	27855	280.5	"SOUTH"	5.636574
"01037"	"AL"	"Coosa County"	33721	132.7	"SOUTH"	4.888091
"01039"	"AL"	"Covington County"	33484	130.4	"SOUTH"	4.870606
"01041"	"AL"	"Crenshaw County"	35577	176.4	"SOUTH"	5.172754
"01043"	"AL"	"Cullman County"	37948	58.8	"SOUTH"	4.074142
"01045"	"AL"	"Dale County"	41287	317.3	"SOUTH"	5.759848
"01047"	"AL"	"Dallas County"	26195	362.5	"SOUTH"	5.893024
"01049"	"AL"	"DeKalb County"	34822	76.2	"SOUTH"	4.333362
"01051"	"AL"	"Elmore County"	51013	224.1	"SOUTH"	5.412092
"01053"	"AL"	"Escambia County"	31365	163	"SOUTH"	5.09375
"01055"	"AL"	"Etowah County"	36088	148	"SOUTH"	4.997212
"01057"	"AL"	"Fayette County"	32643	93.9	"SOUTH"	4.542231
"01059"	"AL"	"Franklin County"	33649	50.4	"SOUTH"	3.919991
"01061"	"AL"	"Geneva County"	34418	143.8	"SOUTH"	4.968423
"01063"	"AL"	"Greene County"	27117	242.8	"SOUTH"	5.492238
"01065"	"AL"	"Hale County"	31790	283.7	"SOUTH"	5.647917
"01067"	"AL"	"Henry County"	37851	172.6	"SOUTH"	5.150977
"01069"	"AL"	"Houston County"	39290	315.8	"SOUTH"	5.755109
"01071"	"AL"	"Jackson County"	36158	64.3	"SOUTH"	4.163559
"01073"	"AL"	"Jefferson County"	41740	592.9	"SOUTH"	6.385026
"01075"	"AL"	"Lamar County"	32993	89.6	"SOUTH"	4.495355
"01077"	"AL"	"Lauderdale County"	39213	60.2	"SOUTH"	4.097672
"01079"	"AL"	"Lawrence County"	37365	84.6	"SOUTH"	4.437934
"01081"	"AL"	"Lee County"	40102	170.3	"SOUTH"	5.137562
"01083"	"AL"	"Limestone County"	49667	161.6	"SOUTH"	5.085124
